route,irn_id
"CASTLE PEAK ROAD - CASTLE PEAK BAY",164265
"CASTLE PEAK ROAD - CASTLE PEAK BAY",260061
"CASTLE PEAK ROAD - CASTLE PEAK BAY",260071
"CASTLE PEAK ROAD - CASTLE PEAK BAY",260073
"CASTLE PEAK ROAD - CASTLE PEAK BAY",268003
"CASTLE PEAK ROAD - CASTLE PEAK BAY",271759
"CASTLE PEAK ROAD - CASTLE PEAK BAY",271923
"CASTLE PEAK ROAD - NEW TAI LAM",110679
"CASTLE PEAK ROAD - NEW TING KAU",93212
"CASTLE PEAK ROAD - NEW TING KAU",165439
"CASTLE PEAK ROAD - SHAM TSENG",93631
"CASTLE PEAK ROAD - SHAM TSENG",93654
"CASTLE PEAK ROAD - SHAM TSENG",93655
"CASTLE PEAK ROAD - SHAM TSENG",93749
"CASTLE PEAK ROAD - SHAM TSENG",93750
"CASTLE PEAK ROAD - SHAM TSENG",93751
"CASTLE PEAK ROAD - SHAM TSENG",93754
"CASTLE PEAK ROAD - SHAM TSENG",93799
"CASTLE PEAK ROAD - SHAM TSENG",96621
"CASTLE PEAK ROAD - SHAM TSENG",98692
"CASTLE PEAK ROAD - SHAM TSENG",110604
"CASTLE PEAK ROAD - SHAM TSENG",117680
"CASTLE PEAK ROAD - SHAM TSENG",165434
"CASTLE PEAK ROAD - SO KWUN WAT",273449
"CASTLE PEAK ROAD - SO KWUN WAT",94691
"CASTLE PEAK ROAD - SO KWUN WAT",94927
"CASTLE PEAK ROAD - SO KWUN WAT",94933
"CASTLE PEAK ROAD - SO KWUN WAT",96631
"CASTLE PEAK ROAD - SO KWUN WAT",97114
"CASTLE PEAK ROAD - SO KWUN WAT",97115
"CASTLE PEAK ROAD - SO KWUN WAT",108595
"CASTLE PEAK ROAD - SO KWUN WAT",164678
"CASTLE PEAK ROAD - SO KWUN WAT",267923
"CASTLE PEAK ROAD - TAI LAM",272643
"CASTLE PEAK ROAD - TAI LAM",272645
"CASTLE PEAK ROAD - TAI LAM",272745
"CASTLE PEAK ROAD - TAI LAM",94697
"CASTLE PEAK ROAD - TAI LAM",94737
"CASTLE PEAK ROAD - TAI LAM",94741
"CASTLE PEAK ROAD - TAI LAM",94936
"CASTLE PEAK ROAD - TAI LAM",96048
"CASTLE PEAK ROAD - TAI LAM",96049
"CASTLE PEAK ROAD - TAI LAM",97393
"CASTLE PEAK ROAD - TAI LAM",165436
"CASTLE PEAK ROAD - TING KAU",93297
"CASTLE PEAK ROAD - TING KAU",93423
"CASTLE PEAK ROAD - TING KAU",93424
"CASTLE PEAK ROAD - TING KAU",96550
"CASTLE PEAK ROAD - TING KAU",110575
"CASTLE PEAK ROAD - TING KAU",110581
